cycle,capacity
0,2.035337591005598
1,2.0251402460314116
2,2.013326371345464
3,2.0132846655407413
4,2.000528337624771
5,2.0138990759931645
6,2.013101105626967
7,1.9687898262728398
8,1.9681661764334244
9,1.9572307917560536
10,1.9455991514129352
11,1.9347505044841131
12,1.9232799539368028
13,1.911889930948487
14,1.9010667141979305
15,1.8891989948061458
16,1.878278372248849
17,1.8675697161520206
18,1.8675892574453767
19,1.979626548250818
20,1.9575499080884022
21,1.9458150170787551
22,1.9242461121680094
23,1.9459811331421641
24,1.901407930553079
25,1.878674213680085
26,1.8683061328264219
27,1.8560244070082998
28,1.8451997961855777
29,1.857228890885317
30,1.9247760889090635
31,1.8822317526092551
32,1.855276687885587
33,1.8392508917181876
34,1.8185396073994429
35,1.8134770059567056
36,1.7971018450305436
37,1.7810046294120476
38,1.7710130422682329
39,1.7604712448170943
40,1.7502913788006587
41,1.7394925037732578
42,1.7546766553637203
43,1.7659390941842175
44,1.7337887419624838
45,1.713325912040734
46,1.7024077813673466
47,1.82371946178183
48,1.8081284050314708
49,1.7757610945034283
50,1.7447409841836798
51,1.729207034132373
52,1.7081086552553244
53,1.6975954237461768
54,1.6820634524029463
55,1.6714768322295086
56,1.6607591387047655
57,1.651121015038069
58,1.6401349256190927
59,1.6291999416165441
60,1.6088496302961666
61,1.6035244898969248
62,1.5989712144027983
63,1.5876273123575604
64,1.5829719744686166
65,1.567137636713563
66,1.5613446139713882
67,1.5511711892790419
68,1.5406741606295171
69,1.5253138744624433
70,1.5301570318067428
71,1.5246566834474087
72,1.5145492986655427
73,1.509391504602082
74,1.5039974333050705
75,1.4935201918040188
76,1.4876323024497422
77,1.5302876214401704
78,1.5040760088360112
79,1.4887593608730894
80,1.4782779285546637
81,1.478459982215684
82,1.473214844899973
83,1.4675164935067897
84,1.4516292657521335
85,1.4519237720967177
86,1.4471484694777745
87,1.4468538105659885
88,1.4416741930284678
89,1.5935866593100128
90,1.5463902376915637
91,1.51470559175661
92,1.4989786083335404
93,1.4831110745410492
94,1.4729664825468278
95,1.4627604396099307
96,1.4518364681062514
97,1.4468670644030392
98,1.441380399427779
99,1.431210744960774
100,1.4260247179525716
101,1.420487649966195
102,1.4207006230355006
103,1.452255804330839
104,1.431557632772571
105,1.415015751158943
106,1.4097311506517451
107,1.404917318129309
108,1.395164296571563
109,1.3945343832614077
110,1.3893171179312644
111,1.3838379472327809
112,1.3736814238195123
113,1.3786059891863676
114,1.3737600299108574
115,1.3682580583942712
116,1.3633024037317505
117,1.3580966140172601
118,1.353269090999531
119,1.3841605738237488
120,1.4051467790651473
121,1.378719022627353
122,1.3682657783199066
123,1.3573151296618016
124,1.3524934638801596
125,1.3474099151661236
126,1.3370075130842318
127,1.3312352966718526
128,1.3259303781727643
129,1.321578743867529
130,1.321225074066109
131,1.3156485301862682
132,1.3209025697502388
133,1.3474328767273906
134,1.3260128072353616
135,1.3101186784831063
136,1.30521620229393
137,1.3004061951355774
138,1.300235735841116
139,1.2895066722480755
140,1.279253057384795
141,1.2792078171714618
142,1.274036760902923
143,1.2741273923001468
144,1.2637639426440779
145,1.2581373688955233
146,1.253259864055301
147,1.2532313315493426
148,1.2480874960313577
149,1.2534354284944844
150,1.2898048773266901
151,1.2635402021758835
152,1.2479761706842853
153,1.2321202877943334
154,1.2271137666213534
155,1.2217397581377356
156,1.211102678915174
157,1.2056159765131735
158,1.2008936262717274
159,1.1905903985558335
160,1.185179251041941
161,1.1796706818144624
162,1.1745952836753915
163,1.15381833159625
164,1.1644009557372264
165,1.1587974947916069
166,1.1749748834769171
167,1.1856752327929356
